# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	6297
#@/user_id	0f69583d-8a17-42ac-93db-e15cc74941e5
A T I H 	ATIH	c=1 d=1 t=5318
bang zu 	帮组	c=1 d=1 t=763
bao 	报	c=1 d=1 t=4818
bao cun 	保存	c=6 d=1.64777 t=2622
bao cuo 	报错	c=1 d=1 t=500
bao gao 	报告	c=7 d=1 t=6283
bao guan li qi 	包管理器	c=1 d=1 t=2964
bao kuo 	包括	c=2 d=1 t=3342
bao liu 	保留	c=3 d=1.14442 t=5875
bei 	被	c=7 d=1.42765 t=4721
bei an 	备案	c=1 d=1 t=615
bei fen 	备份	c=1 d=1 t=1136
bei jing 	北京	c=3 d=2.98506 t=5435
bei jing 	背景	c=3 d=1 t=6046
bei shu 	倍数	c=4 d=3.79079 t=1725
ben di 	本地	c=7 d=1.00675 t=6207
bi 	比	c=1 d=1 t=3617
bi 	碧	c=1 d=1 t=3509
bi hua 	比画	c=1 d=1 t=537
bi hua 	笔画	c=3 d=2.53062 t=595
bi ji 	笔记	c=1 d=1 t=3018
bi jiao 	比较	c=5 d=1 t=5845
bi li 	比例	c=4 d=1.5729 t=3399
bi mian 	避免	c=1 d=1 t=3126
bi ru 	比如	c=1 d=1 t=1788
bi ta 	逼她	c=1 d=1 t=4628
bi xu 	必须	c=1 d=1 t=2827
bi yong 	比用	c=1 d=1 t=4964
bian 	边	c=3 d=1.0095 t=2687
bian bu bian 	变不变	c=1 d=1 t=1714
bian cheng 	变成	c=10 d=2.03077 t=5965
bian cheng 	编程	c=4 d=1.00301 t=4412
bian hua 	变化	c=9 d=2.63317 t=5681
bian ji 	编辑	c=9 d=1.28351 t=3838
bian ji qi 	编辑器	c=1 d=1 t=5844
bian ke 	便可	c=1 d=1 t=1563
bian kuang 	边框	c=7 d=1.00266 t=5975
bian liang 	变量	c=7 d=1.00017 t=6008
bian xie 	编写	c=4 d=1 t=5941
biao da 	表达	c=3 d=1.0728 t=6247
biao ge 	表格	c=5 d=1.00026 t=3599
biao qian 	标签	c=12 d=1.03836 t=4761
biao shi 	标示	c=2 d=1.27665 t=5364
biao shi 	表示	c=4 d=1.27769 t=3640
biao ti 	标题	c=4 d=1.00962 t=5919
bie 	憋	c=1 d=1 t=598
bie de 	别的	c=5 d=1.50918 t=5989
bie ren 	别人	c=1 d=1 t=3792
bing 	冰	c=1 d=1 t=5900
bing 	并	c=4 d=1 t=5222
bing qie 	并且	c=2 d=1.11824 t=2524
bing ren de 	病人的	c=1 d=1 t=3791
bo ke 	博客	c=2 d=1 t=4570
bo mo 	薄膜	c=1 d=1 t=4498
bu 	不	c=19 d=1.88086 t=5217
bu bi yao 	不必要	c=1 d=1 t=3129
bu bu 	步步	c=0 d=0.1 t=3127
bu bu you ai 	步步有爱	c=1 d=1 t=3128
bu dao 	不到	c=1 d=1 t=2406
bu de 	不得	c=1 d=1 t=6297
bu duan 	不断	c=1 d=1 t=3815
bu dui 	不对	c=3 d=1.00006 t=2697
bu er zhi 	布尔值	c=1 d=1 t=4237
bu fen 	部分	c=2 d=1 t=5401
bu gai bian 	不改变	c=1 d=1 t=5114
bu gou 	不够	c=3 d=1.35177 t=3812
bu guan 	不管	c=2 d=1 t=6053
bu guo 	不过	c=5 d=1.20903 t=5059
bu hao kan 	不好看	c=1 d=1 t=5131
bu he shi 	不合适	c=3 d=2.88839 t=4674
bu huan 	不换	c=1 d=1 t=5513
bu hui 	不会	c=3 d=1 t=3797
bu hui fu 	不回复	c=1 d=1 t=1896
bu jian 	不见	c=1 d=1 t=5969
bu jiao 	不叫	c=1 d=1 t=4415
bu ju 	布局	c=1 d=1 t=1713
bu ke neng 	不可能	c=1 d=1 t=5825
bu ke yong 	不可用	c=1 d=1 t=529
bu liao 	不了	c=1 d=1 t=3199
bu neng 	不能	c=2 d=1 t=6191
bu que ding 	不确定	c=1 d=1 t=2703
bu ru 	不如	c=1 d=1 t=2441
bu shang lai 	不上来	c=1 d=1 t=4658
bu shi 	不是	c=13 d=1.60716 t=5502
bu shi ba 	不是吧	c=1 d=1 t=5525
bu shu 	部署	c=7 d=1.01981 t=5945
bu suan 	不算	c=1 d=1 t=3773
bu tai 	不太	c=1 d=1 t=5675
bu tiao 	布条	c=1 d=1 t=3072
bu tong 	不同	c=10 d=1.0524 t=6292
bu tong bu 	不同步	c=1 d=1 t=1073
bu tui chu 	不退出	c=1 d=1 t=1109
bu xian shi 	不显示	c=1 d=1 t=5874
bu xiao xin 	不小心	c=2 d=1.03096 t=2232
bu xing 	不行	c=2 d=1 t=5253
bu xu yao 	不需要	c=7 d=2.41424 t=5215
bu xuan zhong 	不选中	c=0 d=0.1 t=5954
bu xuan zhong de 	不选中的	c=1 d=1 t=5955
bu yao 	不要	c=3 d=1.00033 t=3582
bu yao you 	不要有	c=1 d=1 t=1975
bu yi yang 	不一样	c=3 d=1.00001 t=6063
bu yong 	不用	c=8 d=1.48519 t=4966
bu zai 	不再	c=3 d=1 t=5365
bu zen me 	不怎么	c=1 d=1 t=4895
bu zhi dao 	不知道	c=7 d=1.31356 t=6029
bu zhou 	步骤	c=4 d=1.95905 t=2395
bu zhun 	不准	c=1 d=1 t=5868
cai 	才	c=3 d=1.99005 t=6136
cai dan 	菜单	c=5 d=1.0256 t=3840
cai guai 	才怪	c=1 d=0.965606 t=6297
cai hui 	才会	c=2 d=1 t=4831
cai neng 	才能	c=2 d=1.0011 t=2873
cai qie 	裁切	c=2 d=1.99005 t=6135
cai yong 	采用	c=1 d=1 t=577
can ji ren 	残疾人	c=0 d=0.1 t=6267
can ji ren po 	残疾人破	c=1 d=1 t=6268
can kao 	参考	c=1 d=1 t=3159
can shu 	参数	c=11 d=1.00756 t=6152
cang ku 	仓库	c=3 d=1.9802 t=4830
ce shi 	测试	c=12 d=2.95786 t=6089
cha 	差	c=1 d=1 t=3828
cha bu duo 	差不多	c=3 d=2.97521 t=149
cha jian 	插件	c=1 d=1 t=3953
cha kan 	查看	c=6 d=1.00017 t=6182
cha kan ne 	查看呢	c=1 d=1 t=4299
cha xun 	查询	c=5 d=1.00178 t=6281
chai cheng 	拆成	c=1 d=1 t=542
chai fen 	拆分	c=1 d=1 t=596
chan pin 	产品	c=2 d=1.9802 t=4453
chang 	长	c=2 d=1 t=3079
chang du 	长度	c=3 d=1.16377 t=5273
chao chu 	超出	c=2 d=1.37531 t=3469
chao jia 	吵架	c=1 d=1 t=5277
chao shi 	超时	c=1 d=1 t=497
che di 	彻底	c=2 d=1.42741 t=902
che hui 	撤回	c=1 d=1 t=1560
chen jin shi 	沉浸式	c=1 d=1 t=6254
chen mo 	沉默	c=1 d=1 t=3819
cheng 	城	c=2 d=1.98511 t=6217
cheng 	成	c=13 d=1.57814 t=6185
cheng ben 	成本	c=2 d=1.00118 t=5169
cheng du 	程度	c=1 d=1 t=4769
cheng xu yuan 	程序员	c=1 d=1 t=4330
chi 	吃	c=1 d=1 t=55
chi cun 	尺寸	c=4 d=1.85661 t=3429
chi jiu hua 	持久化	c=1 d=1 t=202
chi le 	吃了	c=1 d=1 t=1455
chi lun 	齿轮	c=1 d=1 t=2209
chong 	冲	c=2 d=1.00022 t=2036
chong fu 	重复	c=2 d=1.94649 t=6203
chong gou 	重构	c=1 d=1 t=2778
chong qi 	重启	c=1 d=1 t=6112
chong shi 	重试	c=2 d=1 t=5288
chong xin 	重新	c=9 d=1.67235 t=5339
chong zhi 	重置	c=1 d=1 t=3857
chou li 	抽离	c=2 d=1.0567 t=5652
chou xiang 	抽象	c=1 d=1 t=4644
chu 	出	c=9 d=1.31037 t=6248
chu bei 	储备	c=1 d=1 t=3811
chu fa 	出发	c=1 d=1 t=756
chu fa 	处罚	c=1 d=1 t=4007
chu fa 	触发	c=6 d=1.04938 t=6253
chu lai 	出来	c=5 d=1.00045 t=5295
chu li 	处理	c=9 d=1.51564 t=6109
chu qu 	出去	c=1 d=1.09418 t=269
chu shi 	初始	c=1 d=1 t=5117
chu shi hua 	初始化	c=1 d=1 t=5076
chu tu 	出图	c=1 d=1 t=1680
chu xuan xiang 	出选项	c=1 d=1 t=546
chu yao 	除妖	c=1 d=1 t=3366
chuan 	传	c=1 d=1 t=3394
chuan di 	传递	c=4 d=2.69635 t=2418
chuan ru 	传入	c=1 d=1 t=2673
chuang jian 	创建	c=5 d=3.81597 t=4065
chuang kou 	窗口	c=2 d=1.00009 t=5086
chun 	春	c=1 d=1 t=2261
chun 	纯	c=1 d=1 t=4187
chun jie 	春节	c=2 d=1 t=3902
chun wan 	春晚	c=2 d=1.0773 t=3631
ci 	此	c=1 d=1 t=3002
cong 	从	c=6 d=1.00032 t=3658
cu xi 	粗细	c=2 d=1.00654 t=3060
cun chu 	存储	c=1 d=1 t=2579
cun xu 	存续	c=1 d=1 t=2809
cun zai 	存在	c=2 d=1.64082 t=450
cuo 	错	c=1 d=1 t=4931
cuo wu 	错误	c=7 d=1.00001 t=3250
da an 	答案	c=2 d=1.956 t=563
da bao 	打包	c=7 d=3.54739 t=3013
da bu fen 	大部分	c=2 d=1.00708 t=6176
da fa shi 	大法师	c=0 d=0.0810585 t=6297
da fa shi da fu du sa fen 	大法师大幅度萨芬	c=1 d=0.814647 t=6297
da fu du 	大幅度	c=0 d=0.0810585 t=6297
da gai 	大概	c=1 d=1 t=1820
da ji bai 	大几百	c=1 d=1 t=3914
da jian 	搭建	c=2 d=1.00001 t=2764
da kai 	打开	c=8 d=1.08915 t=4196
da mian ji 	大面积	c=1 d=1 t=4547
da mo xing 	大模型	c=1 d=1 t=5161
da shi jian 	大事件	c=1 d=1 t=5732
da suan 	打算	c=1 d=1 t=5456
da xiao 	大小	c=7 d=1.01945 t=5906
da xie 	大写	c=2 d=1.88692 t=239
da yin 	打印	c=9 d=1.00872 t=5068
da ying 	答应	c=1 d=1 t=3877
da zhi 	大致	c=1 d=1 t=3038
da zhuan 	大专	c=1 d=1 t=4597
dai 	带	c=1 d=1 t=533
dai biao 	代表	c=3 d=1.97531 t=4287
dai li 	代理	c=1 d=1 t=5296
dai ma 	代码	c=23 d=1.02397 t=6275
dai you 	带有	c=1 d=1 t=3095
dan 	但	c=1 d=1 t=1818
dan 	单	c=1 d=1 t=5080
dan ci 	单词	c=1 d=1 t=1338
dan du 	单独	c=7 d=0.118926 t=3958
dan du du 	单独度	c=1 d=1 t=3959
dan shen 	单身	c=2 d=1.28794 t=983
dan shi 	但是	c=6 d=1.4777 t=4680
dan xuan 	单选	c=5 d=1.01245 t=5977
dang 	当	c=3 d=1.95536 t=4838
dang du 	当度	c=1 d=1 t=1075
dang qian 	当前	c=2 d=1.22537 t=4295
dao 	到	c=26 d=1.86768 t=6270
dao bao 	导报	c=1 d=1 t=2438
dao chu 	导出	c=1 d=1 t=2754
dao chu lai 	导出来	c=1 d=1 t=2745
dao ji shi 	倒计时	c=1 d=1 t=131
dao qian 	道歉	c=1 d=1 t=4662
dao ru 	导入	c=5 d=1.14528 t=3422
dao shi 	倒是	c=1 d=1 t=1380
dao shi hou 	到时候	c=5 d=1.00053 t=3344
dao zhi 	导致	c=1 d=1 t=2428
de 	得	c=4 d=1.00176 t=5244
de 	德	c=5 d=1.11901 t=1844
de 	的	c=461 d=16.2331 t=6297
de fen 	得分	c=1 d=1 t=370
de hua 	的话	c=1 d=1 t=1760
de liang 	德良	c=5 d=4.42903 t=5792
de ma 	的吗	c=1 d=1 t=4269
dei 	得	c=1 d=1 t=3276
dei yong 	得用	c=1 d=1 t=1474
deng 	等	c=4 d=1.04411 t=5120
deng dai 	等待	c=4 d=1.77105 t=5127
deng lu 	登录	c=3 d=1 t=3660
deng xia 	等下	c=2 d=1 t=3391
di 	低	c=1 d=1 t=371
di 	底	c=1 d=1 t=6216
di bu 	底部	c=2 d=1.00001 t=5466
di dai ma 	低代码	c=1 d=1 t=4446
di di 	弟弟	c=1 d=1 t=4733
di fang 	地方	c=4 d=1.00024 t=5990
di qu 	地区	c=6 d=3.32652 t=2904
di san fang 	第三方	c=1 d=0.856415 t=6297
di xia 	底下	c=1 d=1 t=3289
di yi 	第一	c=6 d=1.01769 t=5605
di yi ge 	第一个	c=1 d=1 t=204
di yi xiang 	第一项	c=2 d=1.89137 t=2596
di zhi 	地址	c=6 d=1.03066 t=5518
dian 	点	c=8 d=1.01539 t=5820
dian dao 	点到	c=1 d=1 t=1539
dian dao 	颠倒	c=1 d=1 t=1538
dian hua 	电话	c=3 d=1.01123 t=1930
dian ji 	点击	c=12 d=3.14027 t=5631
dian nao 	电脑	c=2 d=1 t=6092
diao 	掉	c=3 d=1.00002 t=4692
diao yong 	调用	c=5 d=1.01324 t=5258
ding bu 	顶部	c=1 d=1 t=1995
ding yi 	定义	c=9 d=1.00475 t=6043
ding yue 	订阅	c=2 d=1 t=4289
diu shi 	丢失	c=1 d=1 t=4275
dong 	动	c=2 d=1.00115 t=1789
dong 	懂	c=1 d=1 t=1790
dong de 	懂得	c=1 d=0.99005 t=6297
dong fa shou fa 	懂法守法	c=0 d=0.1 t=3620
dong tai 	动态	c=4 d=2.8193 t=5680
dong xi 	东西	c=8 d=1.95668 t=5993
dou 	都	c=18 d=2.17571 t=5319
dou dong 	抖动	c=1 d=0.995012 t=6297
dou dong 	都懂	c=1 d=1 t=6297
dou fu 	豆腐	c=1 d=0.956003 t=6297
dou mei 	都没	c=1 d=1 t=458
dou mei you 	都没有	c=1 d=1 t=3280
dou neng 	都能	c=1 d=1 t=3167
dou shi 	都是	c=4 d=1.00079 t=5948
dou shi zai 	都是在	c=1 d=1 t=4523
dou shuo 	都说	c=1 d=1 t=4650
dou wen zi 	都文字	c=1 d=1 t=1038
dou yi yang 	都一样	c=1 d=1 t=172
dou yin 	抖音	c=2 d=1.98511 t=1361
dou you 	都有	c=1 d=1 t=4082
du 	度	c=0 d=0.1 t=3958
du gong 	督工	c=1 d=1 t=4407
du qu 	读取	c=7 d=1.93746 t=5349
du te 	独特	c=1 d=1 t=387
duan 	短	c=3 d=2.23087 t=305
duan bao gao 	短报告	c=1 d=1 t=60
duan kou 	端口	c=2 d=1.99501 t=1425
dui 	对	c=7 d=1.48408 t=6149
dui bi 	对比	c=5 d=1.20089 t=5544
dui fang 	对方	c=1 d=1 t=4592
dui jie 	对接	c=3 d=1.30046 t=6175
dui le 	对了	c=1 d=1 t=4517
dui qi 	对齐	c=1 d=1 t=5910
dui xiang 	对象	c=1 d=1 t=5607
dui ying 	对应	c=12 d=4.08054 t=5692
dui zhao 	对照	c=2 d=1.956 t=5710
duo 	多	c=1 d=1 t=4349
duo bu 	多步	c=1 d=1 t=2835
duo ci 	多次	c=2 d=1.00003 t=2993
duo dian 	多点	c=1 d=1 t=3786
duo ge 	多个	c=3 d=1.00003 t=2257
duo hang 	多行	c=1 d=1 t=2793
duo jie duan 	多阶段	c=1 d=1 t=880
duo shao 	多少	c=2 d=1.00543 t=3313
duo shao a 	多少啊	c=0 d=0.0826959 t=6297
duo shao a fa 	多少啊发	c=1 d=0.831104 t=6297
duo shao qian 	多少钱	c=2 d=1 t=5940
duo tiao 	多条	c=1 d=1 t=2979
duo yu 	多余	c=1 d=1 t=5493
e 	呃	c=3 d=1.29294 t=3130
en 	嗯	c=1 d=1 t=4250
er 	二	c=1 d=1 t=2796
er 	而	c=1 d=1 t=2023
er bu shi 	而不是	c=3 d=1.04959 t=3287
er duo 	耳朵	c=0 d=0.1 t=1693
er qie 	而且	c=1 d=1 t=4577
er shi 	而是	c=0 d=0.1 t=5366
er shi yong 	而是用	c=1 d=1 t=5367
er tong 	儿童	c=5 d=3.88254 t=5016
er wei 	而为	c=1 d=1 t=2586
er wei shu zu 	二维数组	c=1 d=1 t=2587
fa 	发	c=6 d=0.0826959 t=6297
fa 	法	c=1 d=1 t=1743
fa bu 	发布	c=1 d=1 t=3304
fa de 	发的	c=1 d=1 t=6064
fa dian 	发点	c=1 d=1 t=2984
fa gei 	发给	c=2 d=1 t=3499
fa hong bao 	发红包	c=1 d=1 t=3903
fa sheng 	发生	c=2 d=1.00209 t=3669
fa sheng de 	发生的	c=0 d=0.1 t=5521
fa song 	发送	c=6 d=1.9802 t=6193
fa song zhong 	发送中	c=1 d=1 t=130
fa xian 	发现	c=5 d=1 t=4811
fa yin 	发音	c=2 d=1.97045 t=1342
fan 	反	c=1 d=1 t=3602
fan 	烦	c=1 d=1 t=4718
fan dui 	反对	c=0 d=0.097531 t=6297
fan hui 	返回	c=1 d=1 t=4236
fan hui zhi 	返回值	c=3 d=1.85224 t=4313
fan le 	反了	c=1 d=1 t=5586
fan wei 	范围	c=8 d=1.07387 t=6222
fan yi 	翻译	c=11 d=1.00021 t=6255
fan yi dan 	翻译蛋	c=1 d=1 t=313
fan ying 	反应	c=2 d=1.01089 t=4507
fan zheng 	反正	c=1 d=1 t=4671
fang 	放	c=1 d=1 t=918
fang da 	放大	c=1 d=1 t=1709
fang dao 	放到	c=3 d=1 t=5358
fang dong 	房东	c=1 d=1 t=272
fang fa 	方法	c=3 d=1.14163 t=5654
fang jia 	放假	c=3 d=1.00123 t=3404
fang shi 	方式	c=2 d=1.91851 t=5389
fang wen 	访问	c=3 d=1.00021 t=6279
fang xiang 	方向	c=2 d=1.00159 t=3491
fei 	非	c=1 d=1 t=5856
fei lv 	费率	c=2 d=1.99501 t=5430
fen 	分	c=1 d=1 t=1566
fen bian lv 	分辨率	c=5 d=3.24918 t=1795
fen si 	粉丝	c=1 d=1 t=3254
fen wei 	分为	c=1 d=1 t=3242
fen xi 	分析	c=3 d=2.90752 t=1317
fen zhi 	分支	c=10 d=1.02723 t=5053
fen zhong 	分钟	c=1 d=1 t=106
feng 	封	c=1 d=1 t=4219
feng mian 	封面	c=6 d=1.41053 t=3845
feng xian 	风险	c=1 d=1 t=395
feng zhuang 	封装	c=8 d=2.63259 t=3570
fou 	否	c=2 d=1.07692 t=4271
fu 	夫	c=1 d=1 t=582
fu 	父	c=2 d=1.20393 t=5259
fu 	负	c=1 d=1 t=5038
fu gai 	覆盖	c=2 d=1.00007 t=4887
fu jian 	附件	c=1 d=1 t=822
fu lei 	父类	c=0 d=0.1 t=4935
fu lei ming 	父类名	c=1 d=1 t=4936
fu wen ben 	富文本	c=1 d=1 t=5843
fu wu 	服务	c=5 d=1 t=5947
fu wu qi 	服务器	c=2 d=1.00186 t=1415
fu yong 	复用	c=1 d=1 t=5578
fu yong 	附庸	c=1 d=1 t=5577
fu yuan su 	父元素	c=1 d=1 t=5151
fu zhi 	复制	c=8 d=3.93702 t=1256
gai 	改	c=7 d=3.09511 t=3340
gai 	该	c=2 d=1.97045 t=2485
gai bian 	改变	c=5 d=1.03802 t=6170
gai cheng 	改成	c=16 d=1.19513 t=6271
gai shu 	概述	c=1 d=1 t=1313
gai si 	该死	c=3 d=2.83173 t=3891
gai wei 	改为	c=1 d=1 t=5342
gai yong 	改用	c=9 d=1.91393 t=5379
gai zao 	改造	c=1 d=1 t=5602
gan 	干	c=1 d=1 t=485
gan ma 	干嘛	c=2 d=1.9802 t=5901
gan rao 	干扰	c=1 d=1 t=550
gan yu 	干预	c=1 d=1 t=400
gang gang 	刚刚	c=3 d=1.00003 t=3234
gang wei 	岗位	c=1 d=1 t=177
gao 	搞	c=5 d=1.03993 t=5912
gao 	高	c=7 d=1.00045 t=6102
gao cheng 	搞成	c=1 d=1 t=3293
gao cuo 	搞错	c=1 d=1 t=2381
gao de 	高德	c=1 d=1 t=5084
gao du 	高度	c=5 d=1.00017 t=5412
gao ge 	搞个	c=1 d=1 t=3511
gao ji 	高级	c=1 d=1 t=4497
gao qing shang 	高情商	c=1 d=1 t=5722
gao shou 	高手	c=1 d=1 t=5237
gao su 	告诉	c=2 d=1 t=5548
gao yi ba 	搞一把	c=1 d=1 t=4496
gao zhi 	告知	c=1 d=1 t=571
ge 	个	c=26 d=1.11695 t=6163
ge 	割	c=1 d=1 t=1567
ge kai 	隔开	c=1 d=1 t=988
ge ren 	个人	c=2 d=1 t=4471
ge shi 	格式	c=8 d=1.00072 t=5878
ge yue 	个月	c=1 d=1 t=4908
gei 	给	c=15 d=1.01816 t=6238
gei chu 	给出	c=1 d=1 t=562
gei li 	给力	c=1 d=1 t=3951
gei wo 	给我	c=1 d=1 t=2249
gei zhe xie 	给这些	c=1 d=1 t=4937
gen 	跟	c=1 d=1 t=3205
gen ju 	根据	c=12 d=1.39621 t=5847
gen mu lu 	根目录	c=1 d=1 t=5264
gen sui 	跟随	c=2 d=1.956 t=5470
gen wo 	跟我	c=2 d=1.00086 t=4624
geng 	更	c=2 d=1.06204 t=5369
geng ju 	更具	c=1 d=1 t=1248
geng xin 	更新	c=8 d=1.02986 t=5623
gong cheng 	工程	c=2 d=1.13601 t=4925
gong gao 	公告	c=1 d=1 t=1370
gong guan 	公关	c=1 d=1 t=1373
gong ju 	工具	c=2 d=1.00016 t=3909
gong ling 	工龄	c=1 d=1 t=3689
gong neng 	功能	c=1 d=1 t=5098
gong si 	公司	c=9 d=3.25522 t=5930
gong xi 	恭喜	c=3 d=1.23068 t=5532
gong ying lian 	供应链	c=1 d=1 t=1928
gong zhong 	公众	c=1 d=1 t=1633
gong zhong hao 	公众号	c=3 d=2.01016 t=3252
gong zuo 	工作	c=7 d=1.17835 t=4750
gong zuo qu 	工作区	c=1 d=1 t=909
gou jian 	构建	c=25 d=2.70959 t=3235
gou mai 	购买	c=1 d=1 t=4160
gou tong 	沟通	c=3 d=1.15433 t=1872
gou zi 	钩子	c=2 d=1.99501 t=5979
gu 	谷	c=2 d=1.0662 t=5818
gu ding 	固定	c=1 d=1 t=5366
gu li 	孤立	c=1 d=1 t=489
guai yi 	怪异	c=1 d=1 t=481
guan 	关	c=1 d=1 t=3031
guan bi 	关闭	c=2 d=1 t=6252
guan dao 	管道	c=1 d=1 t=2121
guan wang 	官网	c=2 d=1.9802 t=1154
guan xi 	关系	c=1 d=1 t=5533
guan yu 	关于	c=3 d=1.956 t=5705
guan zhu 	关注	c=1 d=1 t=3281
guang zhou 	广州	c=1 d=1 t=5431
gui fan 	规范	c=1 d=1 t=4416
gui fan hua 	规范化	c=1 d=1 t=4424
guo 	过	c=6 d=1.01059 t=5830
guo 	郭	c=1 d=1 t=2260
guo cheng 	过程	c=2 d=1.18731 t=766
guo ji hua 	国际化	c=2 d=1.10646 t=6110
guo jia 	国家	c=2 d=1.99005 t=186
guo lai 	过来	c=1 d=1 t=1321
guo le 	过了	c=1 d=1 t=4494
guo nei 	国内	c=2 d=1.02226 t=1371
guo nian qian 	过年前	c=1 d=1 t=2983
guo qi 	过期	c=4 d=1.00005 t=2298
guo qu 	过去	c=1 d=1 t=1413
guo tou 	过头	c=1 d=1 t=3780
ha ha ha 	哈哈哈	c=1 d=1 t=630
ha ha ha ha 	哈哈哈哈	c=1 d=1 t=4749
hai 	还	c=5 d=1.30975 t=6012
hai bu cuo 	还不错	c=1 d=1 t=1449
hai bu xing 	还不行	c=1 d=1 t=4459
hai cha 	还差	c=1 d=1 t=2881
hai hui 	还会	c=1 d=1 t=4578
hai ke yi 	还可以	c=1 d=1 t=3338
hai mei 	还没	c=3 d=1.00326 t=6231
hai mei dao 	还没到	c=1 d=1 t=4729
hai nan 	海南	c=1 d=1 t=1379
hai shi 	还是	c=10 d=1.79188 t=5963
hai suan 	还算	c=1 d=1 t=4414
hai wai 	海外	c=1 d=1 t=5520
hai xing 	还行	c=3 d=1.00045 t=6226
hai yao 	还要	c=2 d=1.06654 t=1182
hai you 	还有	c=6 d=1.36231 t=5189
hai you mei 	还有没	c=1 d=1 t=5988
hai zai 	还在	c=1 d=1 t=3874
han shu 	函数	c=10 d=2.04573 t=5880
han zi 	汉字	c=3 d=2.52307 t=593
hang 	行	c=1 d=1 t=3676
hang ju 	行距	c=1 d=1 t=1190
hao 	号	c=1 d=1 t=3566
hao 	好	c=12 d=1.10667 t=6044
hao an 	毫安	c=1 d=1 t=1435
hao de 	好的	c=2 d=1.80074 t=6297
hao dong xi 	好东西	c=1 d=1 t=6267
hao kan 	好看	c=1 d=1 t=1167
hao wan 	好玩	c=1 d=1 t=4814
hao xiang 	好像	c=4 d=1.03554 t=4649
he 	和	c=46 d=2.40299 t=6215
he bing 	合并	c=7 d=1.99586 t=5501
he qi dong 	和启动	c=1 d=1 t=5271
he ting 	和听	c=1 d=1 t=3769
he tong 	合同	c=2 d=1.97531 t=3775
he wo 	和我	c=1 d=1 t=4629
he zi 	盒子	c=4 d=2.45985 t=3619
hei bai 	黑白	c=1 d=1 t=3492
hen 	很	c=3 d=1.01742 t=5394
hen duo 	很多	c=2 d=1.00002 t=5946
hen hao yong 	很好用	c=1 d=1 t=1433
hen kuai 	很快	c=1 d=1 t=1536
hen man 	很慢	c=2 d=1.59452 t=3937
hen xiao 	很小	c=1 d=1 t=1432
hen zao 	很早	c=1 d=1 t=4430
hen zhong yao 	很重要	c=1 d=1 t=3800
heng zhe 	横着	c=1 d=1 t=4956
hong bao 	红包	c=14 d=4.08036 t=3844
hong en 	鸿恩	c=0 d=0.1 t=3117
hong se 	红色	c=1 d=1 t=3650
hou 	后	c=3 d=1.00438 t=4634
hou duan 	后端	c=2 d=1 t=5749
hou guo 	后果	c=1 d=1 t=3549
hou mian 	后面	c=6 d=1.05641 t=6055
hou tai 	后台	c=1 d=1 t=409
hou xu 	后续	c=2 d=1.03652 t=3438
hu ju 	护具	c=1 d=1 t=2752
hu lve 	忽略	c=1 d=1 t=4078
hua 	化	c=1 d=1 t=420
hua 	画	c=6 d=1.00007 t=6240
hua 	花	c=5 d=3.98115 t=6239
hua 	话	c=11 d=2.08667 t=4150
hua bu 	画布	c=2 d=1.90937 t=1755
